x	   E(x)	
26.085	   -8.15567
26.132	   -7.97975
26.179	   -7.80288
26.226	   -7.62522
26.273	   -7.44647
26.320	   -7.26684
26.367	   -7.08632
26.414	   -6.90492
26.461	   -6.72293
26.508	   -6.53986
26.555	   -6.35598
26.602	   -6.17129
26.649	   -5.98618
26.696	   -5.79996
26.743	   -5.61302
26.790	   -5.42535
26.837	   -5.23744
26.884	   -5.04840
26.931	   -4.85873
26.978	   -4.66842
27.025	   -4.47803
27.072	   -4.28651
27.119	   -4.09445
27.166	   -3.90186
27.213	   -3.70872
27.260	   -3.51572
27.307	   -3.32165
27.354	   -3.12714
27.401	   -2.93219
27.448	   -2.73753
27.495	   -2.54183
27.542	   -2.34579
27.589	   -2.14943
27.636	   -1.95349
27.683	   -1.75656
27.730	   -1.55941
27.777	   -1.36204
27.824	   -1.16522
27.871	   -0.96747
27.918	   -0.76962
27.965	   -0.57165
28.012	   -0.37357
28.059	   -0.17622
28.106	    0.02192
28.153	    0.22006
28.200	    0.41820
28.247	    0.61552
28.294	    0.81353
28.341	    1.01142
28.388	    1.20920
28.435	    1.40608
28.482	    1.60353
28.529	    1.80076
28.576	    1.99775
28.623	    2.19378
28.670	    2.39027
28.717	    2.58641
28.764	    2.78222
28.811	    2.97769
28.858	    3.17210
28.905	    3.36676
28.952	    3.56098
28.999	    3.75476
29.046	    3.94746
29.093	    4.14024
29.140	    4.33249
29.187	    4.52419
29.234	    4.71480
29.281	    4.90534
29.328	    5.09524
29.375	    5.28451
29.422	    5.47313
29.469	    5.66062
29.516	    5.84783
29.563	    6.03431
29.610	    6.22006
29.657	    6.40471
29.704	    6.58890
29.751	    6.77228
29.798	    6.95485
29.845	    7.13635
29.892	    7.31723
29.939	    7.49721
29.986	    7.67631
30.033	    7.85438
30.080	    8.03166
30.127	    8.20798
30.174	    8.38335
30.221	    8.55776
30.268	    8.73115
30.315	    8.90357
30.362	    9.07496
30.409	    9.24535
30.456	    9.41478
30.503	    9.58307
30.550	    9.75029
30.597	    9.91644
30.644	   10.08170
30.691	   10.24568
30.738	   10.40854
30.785	   10.57029
30.832	   10.73120
30.879	   10.89070
30.926	   11.04905
30.973	   11.20624
31.020	   11.36229
